ano,id estado,custodia_m,custodia_f
1979,32NV4,1656,0
1979,33NH1,285,2
1979,34NJ1,5539,313
1979,35NM4,1441,90
1979,36NY1,20895,0
1979,37NC3,13461,794
1979,38ND2,199,50
1979,39OH2,13360,0
1979,40OK3,4250,0
1979,41OR4,3244,11
1979,42PA1,7325,72
1979,44RI1,541,65
1979,45SC3,7016,506
1979,46SD2,550,24
1979,47TN3,6629,0
1979,48TX3,26522,0
1979,49UT4,935,3
1979,50VT1,285,58
1979,51VA3,7920,194
1979,53WA4,4463,0
1979,54WV3,1251,0
1979,55WI2,3677,0
1979,56WY4,477,0
1979,60ST7,271295,5721
1979,70US5,291610,7903
1979,99FE6,20315,2182
1980,1AL3,4489,62
1980,2AK4,381,47
1980,4AZ4,3597,12
1980,5AR3,2805,0
1980,6CA4,23264,0
1980,8CO4,2596,20
1980,9CT1,2469,572
1980,10DE3,967,162
1980,11DC3,2719,325
1980,12FL3,19945,512
1980,13GA3,11922,256
1980,15HI4,544,88
1980,16ID4,672,0
1980,17IL2,10451,1046
1980,18IN2,6281,402
1980,19IA2,2435,2
1980,20KS2,2431,0
1980,21KY3,3588,0
1980,22LA3,7622,0
1980,23ME1,541,112
1980,24MD3,7454,0
1980,25MA1,3032,35
1980,26MI2,15124,0
1980,27MN2,1884,0
1980,28MS3,2690,55
1980,29MO2,5726,0
1980,30MT4,691,1
1980,31NE2,1389,32
1980,32NV4,1815,0
1980,33NH1,299,1
1980,34NJ1,5561,320
1980,35NM4,925,51
1980,36NY1,21639,0
1980,37NC3,14456,1057
1980,38ND2,264,68
1980,39OH2,13138,0
1980,40OK3,4544,0
1980,41OR4,3195,5
1980,42PA1,8130,59
1980,44RI1,601,74
1980,45SC3,6683,362
1980,46SD2,625,26
1980,47TN3,6844,0
1980,48TX3,29892,0
1980,49UT4,916,4
1980,50VT1,326,78
1980,51VA3,8231,126
1980,53WA4,4339,0
1980,54WV3,1257,0
1980,55WI2,3788,0
1980,56WY4,490,0
1980,60ST7,285667,5972
1980,70US5,304692,7991
1980,99FE6,19025,2019
1981,1AL3,5827,126
1981,2AK4,510,62
1981,4AZ4,4780,24
1981,5AR3,3214,31
1981,6CA4,27913,0
1981,8CO4,2743,2
1981,9CT1,2770,559
1981,10DE3,984,125
1981,11DC3,2932,443
1981,12FL3,22898,379
1981,13GA3,12377,67
1981,15HI4,680,65
1981,16ID4,903,0
1981,17IL2,13669,325
1981,18IN2,7559,463
1981,19IA2,2670,-9
1981,20KS2,2800,0
1981,21KY3,3993,0
1981,22LA3,8577,0
1981,23ME1,667,135
1981,24MD3,8841,423
1981,25MA1,3791,98
1981,26MI2,15157,0
1981,27MN2,1909,0
1981,28MS3,3412,65
1981,29MO2,6489,0
1981,30MT4,734,3
1981,31NE2,1480,21
1981,32NV4,2075,0
1981,33NH1,351,0
1981,34NJ1,6846,150
1981,35NM4,1305,138
1981,36NY1,25494,0
1981,37NC3,14754,937
1981,38ND2,238,62
1981,39OH2,14796,0
1981,40OK3,4950,0
1981,41OR4,3284,3
1981,42PA1,9292,74
1981,44RI1,688,93
1981,45SC3,7185,459
1981,46SD2,665,31
1981,47TN3,7678,0
1981,48TX3,31502,0
1981,49UT4,1051,14
1981,50VT1,361,52
1981,51VA3,8460,54
1981,53WA4,5294,0
1981,54WV3,1565,0
1981,55WI2,4249,0
1981,56WY4,610,0
1981,60ST7,322972,5483
1981,70US5,344283,7741
1981,99FE6,21311,2258
1982,1AL3,7565,233
1982,2AK4,608,115
1982,4AZ4,5809,21
1982,5AR3,3747,27
1982,6CA4,33583,0
1982,8CO4,3037,0
1982,9CT1,3004,727
1982,10DE3,1260,184
1982,11DC3,3351,615
1982,12FL3,26892,673
1982,13GA3,14038,367
1982,15HI4,804,151
1982,16ID4,990,0
1982,17IL2,13551,344
1982,18IN2,8295,495
1982,19IA2,2829,0
1982,20KS2,3015,0
1982,21KY3,3915,0
1982,22LA3,9436,0
1982,23ME1,729,156
1982,24MD3,10968,582
1982,25MA1,4238,96
1982,26MI2,14913,0
1982,27MN2,2197,0
1982,28MS3,4412,52
1982,29MO2,7422,0
1982,30MT4,810,0
1982,31NE2,1560,96
1982,32NV4,2546,0
1982,33NH1,431,0
1982,34NJ1,7970,201
1982,35NM4,1433,231
1982,36NY1,28501,0
1982,37NC3,15349,1220
1982,38ND2,305,46
1982,39OH2,17147,0
1982,40OK3,6054,0
1982,41OR4,3867,0
1982,42PA1,10466,60
1982,44RI1,785,92
1982,45SC3,8048,485
1982,46SD2,758,36
1982,47TN3,7683,0
1982,48TX3,36149,0
1982,49UT4,1117,17
1982,50VT1,390,86
1982,51VA3,9203,26
1982,53WA4,5861,0
1982,54WV3,1547,0
1982,55WI2,4441,0
1982,56WY4,684,0
1982,60ST7,363713,7434
1982,70US5,385343,9966
1982,99FE6,21630,2532
