HDI_rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_years_of_schooling_f,Mean_years_of_schooling_m,Estimated_gross_national_income_per_capita_f,Estimated_gross_national_income_per_capita_m,GII_value,GII_rank,maternal_mortality_ratio,adolescent_birth_rate,share_of_seats_parliament,population_above_secondary_education_f,population_above_secondary_education_m,labour_force_participation_rate_f,labour_force_participation_rate_m
165,Comoros,0.876,5,0.465,0.531,65.7,62.2,11.1,11.4,3.7,5.6,1027,1764,..,..,335,65.4,6.1,..,..,36,50.2
165,Togo,0.822,5,0.446,0.542,61.3,59.6,10,13.2,3.3,6.5,1265,1643,0.567,140,368,89.1,17.6,26.3,52.5,75.8,79.4
167,Sudan,0.831,5,0.446,0.537,66.3,63.1,7.2,7.7,3.1,4.1,1785,6455,0.564,139,311,64,31,14.7,19.3,23.6,69.9
168,Afghanistan,0.625,5,0.364,0.583,65.4,62.8,8,12.7,1.9,6,541,3030,0.653,153,396,64.5,27.4,11.4,36.9,19.5,86.7
168,Haiti,..,..,..,..,65.8,61.4,..,..,4.3,6.6,1400,1937,0.601,144,359,37.5,2.7,26.9,39.9,63.8,72.6
170,FALSE,0.841,5,0.446,0.531,55.7,52.7,8.1,10,4,6.2,2529,4409,0.663,155,645,132.7,9.2,17.8,34.1,48.1,66.2
171,Malawi,0.936,3,0.46,0.492,66.2,61,10.9,10.8,4,5.1,897,1235,0.619,148,634,140.2,16.7,16.7,25.4,72.3,81.9
172,Djibouti,..,..,..,..,64.4,61,5.8,6.7,..,..,2491,4286,..,..,229,18.8,10.8,..,..,49.5,68.5
173,Ethiopia,0.846,5,0.424,0.501,67.8,64,8.2,9.1,1.6,3.8,1304,2136,0.502,121,353,62.5,37.3,11.2,21.4,77.2,87.8
174,Gambia,0.89,5,0.434,0.487,62.8,60.1,9.3,9.2,2.9,4.3,1168,1870,0.623,149,706,79.2,10.3,29,42.3,51.2,67.7
175,Guinea,0.81,5,0.411,0.507,61.2,60.1,7.8,10.4,1.5,3.9,1804,2328,..,..,679,135.3,21.9,..,..,63,65.4
176,Congo (Democratic Republic of the),0.852,5,0.42,0.493,61.5,58.5,8.7,10.6,5.3,8.4,703,889,0.652,152,693,124.2,8.2,36.7,65.8,71.4,73.5
177,Guinea-Bissau,..,..,..,..,59.5,56,..,..,..,..,1269,1843,..,..,549,84.5,13.7,..,..,65.6,78.1
178,Yemen,0.425,5,0.223,0.524,66.6,63.7,7.6,10.3,1.9,4.2,149,2308,0.834,160,385,60.4,0.5,18.7,34.8,6,69.6
179,Eritrea,..,..,..,..,67.7,63.4,4.9,5.8,..,..,1451,2048,..,..,501,51.6,22,..,..,75.4,87.4
180,Mozambique,0.904,4,0.414,0.458,61,56.7,9.2,10.2,2.5,4.6,1052,1135,0.552,138,489,135.2,39.6,16.1,27.3,82.5,74.6
181,Liberia,0.846,5,0.398,0.47,64,62,9.3,10.6,3.5,6.1,577,755,0.656,154,725,127.5,9.9,18.5,39.6,53.9,57.4
182,Mali,0.811,5,0.38,0.469,59.2,57.7,6.8,8.6,1.7,3,1345,2560,0.678,157,587,169.1,8.8,7.3,16.4,60.8,82.5
183,Burkina Faso,0.87,5,0.393,0.452,61.4,60,8.3,8.8,1,2,1289,2014,0.61,145,371,104.3,11,6,11.7,58.2,75.2
184,Sierra Leone,0.872,5,0.389,0.446,52.8,51.6,9.3,10.2,2.7,4.3,1096,1387,0.645,150,1.36,112.8,12.4,19.2,32.3,57.1,58.7
185,Burundi,1.002,1,0.419,0.418,59.9,55.9,11.3,12.1,2.7,3.7,807,594,0.471,114,712,26.8,37.8,7.5,10.5,80.2,77.5
186,Chad,0.775,5,0.35,0.452,54.5,52,6.4,9.5,1.2,3.4,1412,2088,0.708,158,856,161.1,12.8,1.7,10,64.8,77.6
187,South Sudan,0.826,5,0.348,0.422,58.3,56.3,3.8,6.3,4,5.3,843,1083,..,..,789,62,26.6,..,..,70.8,73.9
188,Central African Republic,0.78,5,0.319,0.409,54.8,51,5.9,8.5,3,5.6,521,809,0.673,156,882,103.8,8.6,13.2,30.8,63.3,80
189,Niger,0.812,5,0.317,0.391,61.5,59.4,4.7,6,1.5,2.6,691,1119,0.649,151,553,192,17,4.3,8.9,67.5,90.7
