HDI_rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_years_of_schooling_f,Mean_years_of_schooling_m,Estimated_gross_national_income_per_capita_f,Estimated_gross_national_income_per_capita_m,GII_value,GII_rank,maternal_mortality_ratio,adolescent_birth_rate,share_of_seats_parliament,population_above_secondary_education_f,population_above_secondary_education_m,labour_force_participation_rate_f,labour_force_participation_rate_m
38,Slovakia,0.991,1,0.85,0.858,80.4,73.4,15.5,14.4,12.3,12.6,22600,36726,0.18,39,6,22,20,99.1,100,52.5,67.7
39,Brunei Darussalam,0.99,1,0.846,0.854,79.1,75.8,14.8,14.1,9,9.1,63939,88204,0.236,51,23,10.3,9.1,69.1,70.3,59,74.7
39,Saudi Arabia,0.877,5,0.782,0.892,76.5,73.4,16,17.8,8.8,9.9,17422,73945,0.234,50,12,7.8,19.9,67.8,75.5,22.3,79.5
41,Latvia,1.03,2,0.858,0.834,79.4,69.7,16.5,15.1,13.2,12.5,20822,29924,0.196,42,18,13.5,16,99.4,99.1,55.2,67.3
41,Portugal,0.983,1,0.839,0.853,84.2,78.4,16.2,16.4,9.2,9.2,23095,32013,0.088,19,10,9.4,34.8,52.1,53.4,53.3,63.8
43,Bahrain,0.931,3,0.805,0.865,78.1,76.2,16.6,15.6,9.3,9.5,18774,55130,0.222,47,15,13.4,15,63.7,57.1,44,87
44,Chile,0.961,2,0.823,0.856,82.1,77.2,16.7,16.2,10.2,10.5,15137,28809,0.319,72,22,45.6,15.8,79,80.9,50.6,74.4
45,Hungary,0.985,1,0.83,0.843,79.4,72.5,15.4,14.8,11.7,12.1,19931,31413,0.259,54,17,19.7,10.1,95.7,98,47.9,64.2
46,Croatia,0.991,1,0.828,0.835,81,74.5,15.7,14.3,11.2,11.7,17507,27164,0.124,29,8,8.9,18.5,94.5,96.9,45.5,57.7
47,Argentina,0.997,1,0.816,0.819,80.4,73,18.7,16.2,10.1,9.7,12395,24789,0.358,81,52,62.8,38.9,65.9,62.8,47.3,73.2
48,Oman,0.942,3,0.781,0.829,79.7,75.6,14.7,13.4,10.4,9.2,11246,49282,0.264,56,17,7.1,8.8,73.4,63.7,30.2,87.3
49,Russian Federation,1.019,1,0.823,0.808,76.8,65.6,15.9,15.2,12,12.1,19510,29671,0.257,53,25,21.6,16.1,95.8,95.3,56.6,71.8
50,Montenegro,0.956,2,0.794,0.831,79.6,74.9,15.2,14.7,10.7,12,12967,20692,0.132,32,7,11.8,23.5,87,96.4,42.2,55
51,Bulgaria,0.99,1,0.808,0.816,78.4,71.5,15,14.6,11.9,11.8,14777,22930,0.217,46,11,39.5,23.8,93.7,96.1,47.8,59.6
52,Romania,0.985,1,0.804,0.817,79,72.1,14.6,13.9,10.6,11.3,18217,27358,0.311,68,31,33.1,18.7,86.5,92.7,44.1,63.1
53,Belarus,1.02,1,0.814,0.799,78.5,67.5,15.9,15.1,12.2,12.4,13479,19592,0.13,31,4,17.2,33.1,87,92.2,58.4,70.7
54,Bahamas,..,..,..,..,78.8,72.7,..,..,11.5,10.5,22156,31397,0.34,75,80,26.7,21.8,87.4,87.6,70,82
55,Uruguay,1.014,1,0.807,0.796,81,74,16.9,15,9,8.4,15282,24905,0.27,57,15,54.7,22.3,55.8,52.1,56.1,74.4
56,Kuwait,0.99,1,0.791,0.799,76.1,73.9,14.3,12.9,8,6.9,39570,93476,0.27,57,4,9,3.1,54.8,49.3,47.4,84.1
57,Malaysia,0.976,1,0.791,0.81,77.9,73.3,14.1,13.3,10,10.3,20004,31826,0.287,62,40,13.4,13.1,78.9,81.3,50.8,77.4
58,Barbados,1.015,1,0.805,0.792,78.4,73.6,16.7,13.9,10.6,10.4,13509,18384,0.284,60,27,37.3,19.6,94.2,91.6,62.3,70
58,Kazakhstan,1.007,1,0.801,0.795,74.8,65.3,15.5,14.8,11.8,11.7,16814,28815,0.197,43,12,27.5,22.1,98.5,99.1,65.4,77.3
60,Iran (Islamic Republic of),0.871,5,0.726,0.834,77.3,75.1,14.6,15.1,9.7,9.9,6094,32017,0.461,109,25,25,5.9,65.8,70.9,16.8,71.4
